coluna,preenchimento
lit,29
foot,18
ford,0
name,350
ramp,2
wall,5
horse,0
lanes,178
layer,19
sport,1
width,29
access,4
bridge,15
height,1
oneway,245
osm_id,538
tunnel,4
barrier,7
bicycle,66
covered,1
footway,35
full_id,538
highway,530
incline,5
leisure,1
service,2
surface,261
alt_name,24
boundary,0
crossing,9
cycleway,4
diameter,1
handrail,4
junction,1
loc_name,3
material,1
maxspeed,104
old_name,0
osm_type,538
shoulder,0
sidewalk,16
stroller,0
wikidata,0
esperanto,0
wikipedia,0
local_name,0
motorcycle,0
segregated,0
sidewalk_1,0
smoothness,0
step_count,2
wheelchair,4
addr:suburb,0
admin_level,0
bridge:name,0
postal_code,10
source:date,6
source:name,0
area:highway,0
parking:both,6
addr:postcode,2
cycleway:left,3
lane_markings,7
lanes:forward,7
maxspeed:type,10
motor_vehicle,3
sidewalk:left,0
source:oneway,0
total_feicoes,538
cycleway:right,28
cycleway:width,0
lanes:backward,4
oneway:bicycle,4
sidewalk:right,0
source:surface,0
tactile_paving,0
crossing:island,0
footway:surface,0
traffic_calming,0
cycleway:surface,0
maxheight:signed,0
maxweight:signed,0
crossing:markings,0
check_date:surface,0
bicycle:conditional,23
sidewalk:both:surface,0
parking:both:orientation,3
cycleway:left:conditional,0
cycleway:right:conditional,0
