coluna;preenchimento
atm;1
bar;1
bin;4
bus;24
fee;7
lit;4
men;1
ref;25
male;4
name;130
pole;1
shop;4
bench;7
brand;24
level;64
lgbtq;1
notes;1
phone;10
women;1
access;13
female;4
height;2
noexit;8
osm_id;391
unisex;3
amenity;155
barrier;19
brewery;1
covered;5
cuisine;33
full_id;391
highway;198
network;4
payment;5
shelter;8
vending;1
website;5
alt_name;1
building;2
capacity;16
crossing;139
delivery;2
entrance;5
operator;15
osm_type;391
religion;4
takeaway;10
wikidata;1
addr:city;3
check_date;15
diet:vegan;1
healthcare;19
short_name;2
start_date;3
wheelchair;14
addr:street;8
addr:suburb;3
description;3
name:signed;3
crossing_ref;16
denomination;3
microbrewery;1
payment:cash;1
payment:visa;1
self_service;3
addr:postcode;3
contact:phone;1
official_name;1
opening_hours;8
operator:type;1
payment:coins;1
payment:notes;1
total_feicoes;391
bicycle_rental;1
brand:wikidata;24
bicycle_parking;5
brand:wikipedia;11
building:levels;2
button_operated;5
crossing:island;5
diet:vegetarian;3
internet_access;1
outdoor_seating;2
traffic_signals;30
addr:housenumber;9
air_conditioning;1
diet:gluten_free;1
public_transport;24
toilets:disposal;3
contact:instagram;2
crossing:markings;49
operator:wikidata;2
operator:wikipedia;1
payment:mastercard;1
internet_access:fee;1
payment:debit_cards;2
payment:credit_cards;6
traffic_signals:sound;5
payment:telephone_cards;4
payment:electronic_purses;1
traffic_signals:direction;5
traffic_signals:vibration;5
