coluna;preenchimento
fee;2
club;1
name;320
shop;33
type;2
brand;16
image;4
layer;4
level;2
phone;3
ruins;1
sport;1
access;2
height;1
office;5
osm_id;2191
amenity;123
full_id;2191
landuse;3
leisure;4
name:en;2
name:pt;2
parking;2
surface;3
website;6
building;2167
capacity;2
operator;8
osm_type;2191
religion;26
wikidata;2
addr:city;29
wikipedia;2
check_date;2
healthcare;34
wheelchair;4
addr:street;90
addr:suburb;31
description;6
language:en;2
language:es;2
second_hand;1
denomination;6
payment:visa;1
self_service;1
addr:postcode;27
building:part;1
opening_hours;7
operator:type;7
service_times;4
total_feicoes;2191
addr:housename;2
brand:wikidata;15
operator:short;8
brand:wikipedia;3
building:colour;1
building:levels;124
addr:housenumber;138
contact:instagram;2
operator:wikidata;8
payment:mastercard;1
healthcare:speciality;2
building:levels:underground;1
