Categoria;Pontuação;Classifiacação;Indicador;Pontuação;Classifiacação
Calçada;2,02;Bom;Largura;1,82;Suficiente
;;;Pavimentação;2,21;Bom
Mobilidade ;2,41;Bom;Dimensão das Quadras;1,95;Suficiente
;;;Distância a Pé ao Transporte;2,86;Bom
Atração;2,18;Bom;Fachadas Fisicamente Permeáveis ;2,42;Bom
;;;Fachadas Fisicamente Ativas ;2,29;Bom
;;;Usos Mistos;1,83;Suficiente
Segurança Viária          ;1,62;Suficiente;Tipologia da Rua ;1,56;Suficiente
;;;Travessias;1,67;Suficiente
Segurança Pública       ;2,18;Bom;Iluminação;2,18;Bom
Ambiente ;1,46;Suficiente;Sombra e Abrigo;1,85;Suficiente
;;;Coleta de Lixo;1,07;Suficiente
Acessibilidade ;1,19;Suficiente;Piso Tátil;1,29;Suficiente
;;;Obstáculos;1,42;Suficiente
;;;Rampa;0,85;Insuficiente
;;;;;
