coluna,preenchimento
atm,1
bar,1
bin,4
bus,24
fee,7
lit,4
men,1
ref,25
foot,0
ford,0
kerb,0
male,4
name,130
pole,1
shop,4
wifi,0
bench,7
brand,24
craft,0
email,0
image,0
level,64
lgbtq,1
notes,1
phone,10
sport,0
women,1
access,13
bottle,0
charge,0
colour,0
female,4
height,2
mobile,0
noexit,8
office,0
osm_id,391
screen,0
unisex,3
amenity,155
barrier,19
bicycle,0
brewery,1
covered,5
cuisine,33
display,0
full_id,391
highway,198
leisure,0
name:en,0
natural,0
network,4
parking,0
payment,5
shelter,8
smoking,0
surface,0
toilets,0
vending,1
website,5
alt_name,1
backrest,0
building,2
capacity,16
crossing,139
delivery,2
entrance,5
loc_name,0
motorcar,0
nat_name,0
old_name,0
operator,15
osm_type,391
portable,0
reg_name,0
religion,4
takeaway,10
training,0
wikidata,1
addr:city,3
automated,0
direction,0
emergency,0
highchair,0
panoramax,0
check_date,15
diet:vegan,1
dispensing,0
healthcare,19
motorcycle,0
short_name,2
start_date,3
supervised,0
visibility,0
wheelchair,14
"a
ddr:floor",0
addr:street,8
addr:suburb,3
brand:short,0
description,3
language:en,0
name:signed,3
payment:pix,0
payment:sus,0
survey:date,0
thermometer,0
crossing_ref,16
denomination,3
microbrewery,1
payment:cash,1
payment:free,0
payment:visa,1
self_service,3
addr:postcode,3
contact:phone,1
drive_through,0
motor_vehicle,0
nohousenumber,0
official_name,1
opening_hours,8
operator:type,1
payment:coins,1
payment:notes,1
total_feicoes,391
addr:housename,0
bicycle_rental,1
brand:wikidata,24
compressed_air,0
operator:short,0
recycling_type,0
tactile_paving,0
bicycle_parking,5
brand:wikipedia,11
building:levels,2
button_operated,5
contact:website,0
crossing:island,5
diet:vegetarian,3
internet_access,1
outdoor_seating,2
social_facility,0
traffic_calming,0
traffic_signals,30
addr:housenumber,9
air_conditioning,1
crossing:signals,0
diet:gluten_free,1
public_transport,24
toilets:disposal,3
contact:instagram,2
crossing:markings,49
maxwidth:physical,0
operator:wikidata,2
wikimedia_commons,0
check_date:shelter,0
operator:wikipedia,1
payment:mastercard,1
internet_access:fee,1
payment:debit_cards,2
social_facility:for,0
payment:credit_cards,6
healthcare:speciality,0
traffic_signals:sound,5
payment:telephone_cards,4
payment:electronic_purses,1
traffic_signals:direction,5
traffic_signals:vibration,5
