coluna,preenchimento
atm,0
ele,0
fee,2
club,1
name,320
shop,33
type,2
brand,16
email,0
house,0
image,4
layer,4
level,2
phone,3
power,0
rooms,0
ruins,1
sport,1
access,2
branch,0
height,1
mobile,0
museum,0
office,5
osm_id,2191
studio,0
amenity,123
clothes,0
content,0
cuisine,0
full_id,2191
landuse,3
leisure,4
name:de,0
name:en,2
name:pt,2
parking,2
smoking,0
surface,3
theatre,0
toilets,0
tourism,0
website,6
alt_name,0
building,2167
capacity,2
historic,0
loc_name,0
man_made,0
military,0
nat_name,0
old_name,0
operator,8
osm_type,2191
reg_name,0
religion,26
takeaway,0
training,0
wikidata,2
addr:city,29
emergency,0
wikipedia,2
building_1,0
check_date,2
diet:vegan,0
dispensing,0
government,0
healthcare,34
roof:shape,0
short_name,0
start_date,0
supervised,0
wheelchair,4
addr:street,90
addr:suburb,31
brand:short,0
description,6
language:en,2
language:es,2
operator:en,0
roof:levels,0
second_hand,1
source:date,0
denomination,6
payment:visa,1
self_service,1
addr:postcode,27
building:part,1
drive_through,0
nohousenumber,0
official_name,0
opening_hours,7
operator:type,7
parking_space,0
service_times,4
total_feicoes,2191
addr:housename,2
brand:wikidata,15
building:flats,0
compressed_air,0
dance:teaching,0
generator:type,0
operator:short,8
brand:wikipedia,3
building:colour,1
building:levels,124
contact:twitter,0
internet_access,0
polling_station,0
social_facility,0
addr:housenumber,138
air_conditioning,0
community_centre,0
contact:facebook,0
generator:method,0
generator:source,0
public_transport,0
building:material,0
contact:instagram,2
operator:wikidata,8
wikimedia_commons,0
operator:wikipedia,0
payment:mastercard,1
toilets:wheelchair,0
internet_access:fee,0
social_facility:for,0
healthcare:speciality,2
unnecessary:addr:city,0
unnecessary:addr:suburb,0
building:levels:underground,1
generator:output:electricity,0
