osm_id,elemento,dimensao,criterio,valor_observado,nivel_evidencia,interpretacao,total_universo_criterio
way/1451659283,calcada,mobilidade_fisica,smoothness,,indeterminado,Condição aparente do pavimento não determinada.,39
way/1451659283,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1451659283,calcada,orientacao_visual_sensorial,tactile_paving,,indeterminado,Não há informação suficiente para determinar a presença de orientação tátil no trecho.,39
way/1451659283,calcada,continuidade_rede,extremidades_conectadas_rede,1_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica no conjunto analisado. A situação não é tratada automaticamente como erro.,39
way/1458073735,calcada,mobilidade_fisica,smoothness,good,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/1458073735,calcada,superficie,surface,paving_stones,condicao_critica_oportunidade_melhoria,Material que pode demandar inspeção quanto à regularidade e trepidação. O material isoladamente não determina uma barreira.,39
way/1458073735,calcada,orientacao_visual_sensorial,tactile_paving,yes,recurso_acessibilidade_presente,Presença registrada de recurso de orientação tátil.,39
way/1458073735,calcada,continuidade_rede,extremidades_conectadas_rede,0_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica no conjunto analisado. A situação não é tratada automaticamente como erro.,39
way/470033389,calcada,mobilidade_fisica,smoothness,excellent,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/470033389,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/470033389,calcada,orientacao_visual_sensorial,tactile_paving,no,impedimento_restricao_identificada,"Ausência explicitamente registrada de piso tátil, interpretada no estudo como restrição à orientação sensorial.",39
way/470033389,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1451659284,calcada,mobilidade_fisica,smoothness,,indeterminado,Condição aparente do pavimento não determinada.,39
way/1451659284,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1451659284,calcada,orientacao_visual_sensorial,tactile_paving,no,impedimento_restricao_identificada,"Ausência explicitamente registrada de piso tátil, interpretada no estudo como restrição à orientação sensorial.",39
way/1451659284,calcada,continuidade_rede,extremidades_conectadas_rede,1_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica no conjunto analisado. A situação não é tratada automaticamente como erro.,39
way/1451659285,calcada,mobilidade_fisica,smoothness,,indeterminado,Condição aparente do pavimento não determinada.,39
way/1451659285,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1451659285,calcada,orientacao_visual_sensorial,tactile_paving,no,impedimento_restricao_identificada,"Ausência explicitamente registrada de piso tátil, interpretada no estudo como restrição à orientação sensorial.",39
way/1451659285,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1453405510,calcada,mobilidade_fisica,smoothness,,indeterminado,Condição aparente do pavimento não determinada.,39
way/1453405510,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1453405510,calcada,orientacao_visual_sensorial,tactile_paving,yes,recurso_acessibilidade_presente,Presença registrada de recurso de orientação tátil.,39
way/1453405510,calcada,continuidade_rede,extremidades_conectadas_rede,1_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica no conjunto analisado. A situação não é tratada automaticamente como erro.,39
way/1453564362,calcada,mobilidade_fisica,smoothness,,indeterminado,Condição aparente do pavimento não determinada.,39
way/1453564362,calcada,superficie,surface,,indeterminado,Material da superfície não informado.,39
way/1453564362,calcada,orientacao_visual_sensorial,tactile_paving,,indeterminado,Não há informação suficiente para determinar a presença de orientação tátil no trecho.,39
way/1453564362,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1453564363,calcada,mobilidade_fisica,smoothness,good,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/1453564363,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1453564363,calcada,orientacao_visual_sensorial,tactile_paving,yes,recurso_acessibilidade_presente,Presença registrada de recurso de orientação tátil.,39
way/1453564363,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1453573066,calcada,mobilidade_fisica,smoothness,good,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/1453573066,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1453573066,calcada,orientacao_visual_sensorial,tactile_paving,no,impedimento_restricao_identificada,"Ausência explicitamente registrada de piso tátil, interpretada no estudo como restrição à orientação sensorial.",39
way/1453573066,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1453574913,calcada,mobilidade_fisica,smoothness,good,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/1453574913,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1453574913,calcada,orientacao_visual_sensorial,tactile_paving,yes,recurso_acessibilidade_presente,Presença registrada de recurso de orientação tátil.,39
way/1453574913,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1453574914,calcada,mobilidade_fisica,smoothness,intermediate,condicao_critica_oportunidade_melhoria,Condição intermediária do pavimento; recomenda-se avaliação ou inspeção mais detalhada.,39
way/1453574914,calcada,superficie,surface,sett,condicao_critica_oportunidade_melhoria,Material que pode demandar inspeção quanto à regularidade e trepidação. O material isoladamente não determina uma barreira.,39
way/1453574914,calcada,orientacao_visual_sensorial,tactile_paving,no,impedimento_restricao_identificada,"Ausência explicitamente registrada de piso tátil, interpretada no estudo como restrição à orientação sensorial.",39
way/1453574914,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1453574915,calcada,mobilidade_fisica,smoothness,good,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/1453574915,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1453574915,calcada,orientacao_visual_sensorial,tactile_paving,yes,recurso_acessibilidade_presente,Presença registrada de recurso de orientação tátil.,39
way/1453574915,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1453577319,calcada,mobilidade_fisica,smoothness,,indeterminado,Condição aparente do pavimento não determinada.,39
way/1453577319,calcada,superficie,surface,,indeterminado,Material da superfície não informado.,39
way/1453577319,calcada,orientacao_visual_sensorial,tactile_paving,,indeterminado,Não há informação suficiente para determinar a presença de orientação tátil no trecho.,39
way/1453577319,calcada,continuidade_rede,extremidades_conectadas_rede,1_de_2,requer_inspecao_interpretativa,Uma ou mais extremidades não apresentam correspondência geométrica no conjunto analisado. A situação não é tratada automaticamente como erro.,39
way/1453600573,calcada,mobilidade_fisica,smoothness,excellent,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/1453600573,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1453600573,calcada,orientacao_visual_sensorial,tactile_paving,no,impedimento_restricao_identificada,"Ausência explicitamente registrada de piso tátil, interpretada no estudo como restrição à orientação sensorial.",39
way/1453600573,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1459568213,calcada,mobilidade_fisica,smoothness,good,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
way/1459568213,calcada,superficie,surface,concrete,caracterizacao_contextual,Material da superfície registrado para caracterização física do trecho.,39
way/1459568213,calcada,orientacao_visual_sensorial,tactile_paving,no,impedimento_restricao_identificada,"Ausência explicitamente registrada de piso tátil, interpretada no estudo como restrição à orientação sensorial.",39
way/1459568213,calcada,continuidade_rede,extremidades_conectadas_rede,2_de_2,sem_evidencia_negativa_no_criterio,As duas extremidades apresentam correspondência geométrica com outra calçada ou travessia.,39
way/1459568214,calcada,mobilidade_fisica,smoothness,good,sem_evidencia_negativa_no_criterio,Não foi identificada condição desfavorável neste critério.,39
