atributo,objetos_com_atributo,total_objetos,percentual_presenca,valores_distintos
highway,144,144,100.0,11
oneway,74,144,51.4,2
surface,59,144,41.0,6
name,53,144,36.8,28
bicycle,32,144,22.2,2
lanes,29,144,20.1,3
maxspeed,29,144,20.1,4
source,25,144,17.4,3
width,16,144,11.1,2
crossing,15,144,10.4,3
service,13,144,9.0,2
description,11,144,7.6,1
foot,9,144,6.2,2
crossing:markings,7,144,4.9,1
footway,7,144,4.9,1
bicycle:conditional,4,144,2.8,1
cycleway:right,4,144,2.8,1
layer,4,144,2.8,2
lit,4,144,2.8,1
oneway:bicycle,4,144,2.8,1
bridge,3,144,2.1,1
cycleway:left,3,144,2.1,1
access,2,144,1.4,2
alt_name,2,144,1.4,2
cycleway,2,144,1.4,1
incline,2,144,1.4,2
lanes:forward,2,144,1.4,1
maxspeed:type,2,144,1.4,1
note,2,144,1.4,2
source:date,2,144,1.4,2
tunnel,2,144,1.4,2
button_operated,1,144,0.7,1
covered,1,144,0.7,1
crossing:island,1,144,0.7,1
crossing_ref,1,144,0.7,1
handrail,1,144,0.7,1
lane_markings,1,144,0.7,1
ramp,1,144,0.7,1
step_count,1,144,0.7,1
traffic_signals:sound,1,144,0.7,1
traffic_signals:vibration,1,144,0.7,1
