highway,total_classe,atributo,objetos_com_atributo,percentual_na_classe
service,37,oneway,25,67.6
service,37,surface,20,54.1
service,37,maxspeed,15,40.5
service,37,source,14,37.8
service,37,service,13,35.1
service,37,description,11,29.7
service,37,width,10,27.0
service,37,name,9,24.3
service,37,tunnel,2,5.4
service,37,access,1,2.7
service,37,covered,1,2.7
service,37,layer,1,2.7
footway,34,bicycle,21,61.8
footway,34,footway,7,20.6
footway,34,surface,6,17.6
footway,34,bridge,3,8.8
footway,34,layer,3,8.8
footway,34,name,2,5.9
footway,34,alt_name,1,2.9
footway,34,lit,1,2.9
residential,17,name,15,88.2
residential,17,oneway,13,76.5
residential,17,source,8,47.1
residential,17,surface,5,29.4
residential,17,lit,2,11.8
residential,17,maxspeed:type,2,11.8
residential,17,access,1,5.9
residential,17,alt_name,1,5.9
residential,17,lane_markings,1,5.9
residential,17,note,1,5.9
residential,17,source:date,1,5.9
residential,17,width,1,5.9
crossing,16,crossing,15,93.8
crossing,16,crossing:markings,7,43.8
crossing,16,button_operated,1,6.2
crossing,16,crossing:island,1,6.2
crossing,16,crossing_ref,1,6.2
crossing,16,source,1,6.2
crossing,16,traffic_signals:sound,1,6.2
crossing,16,traffic_signals:vibration,1,6.2
primary,11,lanes,11,100.0
primary,11,name,11,100.0
primary,11,oneway,11,100.0
primary,11,surface,10,90.9
primary,11,maxspeed,9,81.8
primary,11,bicycle:conditional,4,36.4
primary,11,cycleway:right,4,36.4
primary,11,width,4,36.4
primary,11,bicycle,1,9.1
primary,11,lanes:forward,1,9.1
primary,11,note,1,9.1
primary,11,oneway:bicycle,1,9.1
tertiary,11,lanes,11,100.0
tertiary,11,name,11,100.0
tertiary,11,oneway,11,100.0
tertiary,11,surface,5,45.5
tertiary,11,cycleway:left,3,27.3
tertiary,11,maxspeed,3,27.3
tertiary,11,oneway:bicycle,3,27.3
tertiary,11,bicycle,2,18.2
tertiary,11,foot,1,9.1
tertiary,11,incline,1,9.1
tertiary,11,lanes:forward,1,9.1
tertiary,11,source,1,9.1
tertiary,11,source:date,1,9.1
cycleway,10,bicycle,8,80.0
cycleway,10,foot,8,80.0
cycleway,10,oneway,7,70.0
cycleway,10,surface,7,70.0
cycleway,10,cycleway,2,20.0
cycleway,10,width,1,10.0
secondary,5,lanes,5,100.0
secondary,5,name,5,100.0
secondary,5,oneway,5,100.0
secondary,5,surface,5,100.0
secondary,5,maxspeed,2,40.0
secondary,5,lit,1,20.0
primary_link,1,lanes,1,100.0
primary_link,1,oneway,1,100.0
steps,1,handrail,1,100.0
steps,1,incline,1,100.0
steps,1,ramp,1,100.0
steps,1,step_count,1,100.0
steps,1,surface,1,100.0
tertiary_link,1,lanes,1,100.0
tertiary_link,1,oneway,1,100.0
tertiary_link,1,source,1,100.0
