atributo,valor,quantidade,total_com_atributo,percentual_dentro_atributo
access,private,1,2,50.0
access,yes,1,2,50.0
alt_name,1ª Travessa Eduardo Diniz Gonçalves,1,2,50.0
alt_name,Rua Martagao Gesteira,1,2,50.0
bicycle,yes,30,32,93.8
bicycle,designated,2,32,6.2
bicycle:conditional,yes @ (04:00 - 06:00),4,4,100.0
bridge,viaduct,3,3,100.0
button_operated,no,1,1,100.0
covered,yes,1,1,100.0
crossing,marked,7,15,46.7
crossing,traffic_signals,4,15,26.7
crossing,uncontrolled,4,15,26.7
crossing:island,no,1,1,100.0
crossing:markings,yes,7,7,100.0
crossing_ref,zebra,1,1,100.0
cycleway,crossing,2,2,100.0
cycleway:left,lane,3,3,100.0
cycleway:right,lane,4,4,100.0
description,Shopping Barra,11,11,100.0
foot,designated,8,9,88.9
foot,yes,1,9,11.1
footway,crossing,7,7,100.0
handrail,no,1,1,100.0
highway,service,37,144,25.7
highway,footway,34,144,23.6
highway,residential,17,144,11.8
highway,crossing,16,144,11.1
highway,primary,11,144,7.6
highway,tertiary,11,144,7.6
highway,cycleway,10,144,6.9
highway,secondary,5,144,3.5
highway,primary_link,1,144,0.7
highway,steps,1,144,0.7
highway,tertiary_link,1,144,0.7
incline,10%,1,2,50.0
incline,down,1,2,50.0
lane_markings,no,1,1,100.0
lanes,2,15,29,51.7
lanes,3,11,29,37.9
lanes,1,3,29,10.3
lanes:forward,2,2,2,100.0
layer,5,3,4,75.0
layer,-1,1,4,25.0
lit,yes,4,4,100.0
maxspeed,20,15,29,51.7
maxspeed,70,9,29,31.0
maxspeed,60,3,29,10.3
maxspeed,40,2,29,6.9
maxspeed:type,BR:urban,2,2,100.0
name,Avenida Centenário,12,53,22.6
name,Rua Airosa Galvão,4,53,7.5
name,Avenida Oceânica,3,53,5.7
name,Rua Cardeal Enrico Dante,3,53,5.7
name,Rua Professor Sabino Silva,3,53,5.7
name,Rua Belo Horizonte,2,53,3.8
name,Rua Comendador Francisco Fedreira,2,53,3.8
name,Rua Desembargador Baldoino Andrade,2,53,3.8
name,Rua Djalma Ramos,2,53,3.8
name,Rua Juiz Rosalvo Torres,2,53,3.8
name,Avenida Artur Neiva,1,53,1.9
name,Avenida Princesa Leopoldina,1,53,1.9
name,Primeira Travessa Eduardo Diniz Gonçalves,1,53,1.9
name,Roça da Sabina,1,53,1.9
name,Rua Arthur Neiva,1,53,1.9
name,Rua Ary Barroso,1,53,1.9
name,Rua Augusto Frederico Schmidt,1,53,1.9
name,Rua Doutor Deraldo Dias de Morais,1,53,1.9
name,Rua Doutor José Serafim,1,53,1.9
name,Rua Eduardo Diniz Gonçalves,1,53,1.9
name,Rua Fernão de Magalhães,1,53,1.9
name,Rua José Sátiro de Oliveira,1,53,1.9
name,Rua Leoni Ramos,1,53,1.9
name,Rua Manoel Barreto,1,53,1.9
name,Rua Miguel Burnier,1,53,1.9
name,Rua Plínio Moscoso,1,53,1.9
name,Rua Professor Fernando Luz,1,53,1.9
name,Rua Professor Martagão Gesteira,1,53,1.9
note,Spelling difference: Rua Ari Barroso (IBGE) vs Rua Ary Barroso(OSM),1,2,50.0
note,There is a difference between IBGE data (Rua Doutor Artur Neiva) and OSM data (Rua Arthur Neiva),1,2,50.0
oneway,yes,63,74,85.1
oneway,no,11,74,14.9
oneway:bicycle,no,4,4,100.0
ramp,no,1,1,100.0
service,parking_aisle,12,13,92.3
service,driveway,1,13,7.7
source,Bing,12,25,48.0
source,knowledge,7,25,28.0
source,Yahoo,6,25,24.0
source:date,2012-07-24,1,2,50.0
source:date,22-04-2014,1,2,50.0
step_count,30,1,1,100.0
surface,paved,26,59,44.1
surface,asphalt,25,59,42.4
surface,concrete,4,59,6.8
surface,paving_stones,2,59,3.4
surface,dirt,1,59,1.7
surface,grass_paver,1,59,1.7
traffic_signals:sound,no,1,1,100.0
traffic_signals:vibration,no,1,1,100.0
tunnel,building_passage,1,2,50.0
tunnel,yes,1,2,50.0
width,6,15,16,93.8
width,2.5,1,16,6.2
