estado,classe,atributo,total_feicoes,preenchidos,ausentes,percentual_preenchimento
T0,Calçadas,surface,0,0,0,
T0,Calçadas,smoothness,0,0,0,
T0,Calçadas,tactile_paving,0,0,0,
T0,Travessias lineares,crossing,7,0,7,0.0
T0,Travessias lineares,crossing:markings,7,0,7,0.0
T0,Travessias lineares,wheelchair,7,0,7,0.0
T0,Nós de meio-fio,kerb,0,0,0,
T0,Nós de meio-fio,tactile_paving,0,0,0,
T0,Nós de travessia,crossing,16,15,1,93.8
T0,Nós de travessia,crossing:markings,16,7,9,43.8
T1,Calçadas,surface,39,37,2,94.9
T1,Calçadas,smoothness,39,33,6,84.6
T1,Calçadas,tactile_paving,39,30,9,76.9
T1,Travessias lineares,crossing,19,15,4,78.9
T1,Travessias lineares,crossing:markings,19,15,4,78.9
T1,Travessias lineares,wheelchair,19,11,8,57.9
T1,Nós de meio-fio,kerb,34,34,0,100.0
T1,Nós de meio-fio,tactile_paving,34,13,21,38.2
T1,Nós de travessia,crossing,24,23,1,95.8
T1,Nós de travessia,crossing:markings,24,18,6,75.0
