estado,osm_id,extremidade_1_outra_calcada,extremidade_1_travessia,extremidade_1_rede,extremidade_2_outra_calcada,extremidade_2_travessia,extremidade_2_rede,extremidades_conectadas_rede
T1,way/1451659283,True,False,True,False,False,False,1
T1,way/1458073735,False,False,False,False,False,False,0
T1,way/470033389,False,True,True,False,True,True,2
T1,way/1451659284,False,True,True,False,False,False,1
T1,way/1451659285,True,False,True,True,False,True,2
T1,way/1453405510,False,False,False,False,True,True,1
T1,way/1453564362,True,False,True,True,False,True,2
T1,way/1453564363,True,False,True,True,False,True,2
T1,way/1453573066,True,False,True,True,False,True,2
T1,way/1453574913,True,False,True,True,False,True,2
T1,way/1453574914,True,False,True,True,False,True,2
T1,way/1453574915,True,False,True,True,False,True,2
T1,way/1453577319,False,True,True,False,False,False,1
T1,way/1453600573,True,False,True,True,False,True,2
T1,way/1459568213,True,False,True,True,False,True,2
T1,way/1459568214,True,False,True,True,False,True,2
T1,way/1459568215,True,False,True,True,False,True,2
T1,way/1459630734,True,False,True,True,False,True,2
T1,way/1459630735,True,False,True,True,False,True,2
T1,way/1459630736,True,False,True,True,False,True,2
T1,way/1459630737,True,False,True,True,False,True,2
T1,way/1459630738,True,False,True,True,False,True,2
T1,way/1459630739,True,False,True,False,False,False,1
T1,way/1459630740,True,False,True,False,False,False,1
T1,way/1459630749,False,False,False,True,False,True,1
T1,way/1459630750,True,False,True,True,False,True,2
T1,way/1459640304,True,False,True,False,False,False,1
T1,way/1459640305,False,False,False,False,False,False,0
T1,way/1459640306,False,False,False,False,False,False,0
T1,way/1466119802,True,False,True,True,False,True,2
T1,way/1466128233,True,False,True,False,False,False,1
T1,way/1466128234,True,False,True,False,True,True,2
T1,way/1466128236,True,False,True,True,False,True,2
T1,way/1466128237,False,True,True,False,False,False,1
T1,way/1466128241,False,False,False,False,False,False,0
T1,way/1459630751,True,False,True,False,False,False,1
T1,way/1459640303,True,False,True,True,False,True,2
T1,way/1466119801,False,False,False,True,False,True,1
T1,way/1468558426,False,False,False,False,False,False,0
