estado,osm_id,calcadas_intersectadas,kerbs_sobre_travessia,nos_crossing_sobre_travessia,extremidade_1_em_calcada,extremidade_2_em_calcada,extremidades_conectadas_calcadas
T0,way/396232528,0,0,1,False,False,0
T0,way/396232531,0,0,1,False,False,0
T0,way/807012501,0,0,1,False,False,0
T0,way/807012502,0,0,1,False,False,0
T0,way/972072091,0,0,2,False,False,0
T0,way/396220330,0,0,1,False,False,0
T0,way/396220337,0,0,1,False,False,0
T1,way/396232531,1,0,1,False,False,0
T1,way/807012501,0,0,1,False,False,0
T1,way/807012502,0,0,1,False,False,0
T1,way/972072091,1,0,0,True,True,2
T1,way/1453600574,2,2,1,True,True,2
T1,way/1458074788,2,2,1,True,True,2
T1,way/1459630752,2,2,1,True,True,2
T1,way/1453405511,2,2,1,True,True,2
T1,way/1453405512,3,4,3,True,True,2
T1,way/1453588582,2,2,1,True,True,2
T1,way/1459568216,1,2,1,False,True,1
T1,way/1459568217,2,2,1,True,True,2
T1,way/1459630753,2,2,1,True,True,2
T1,way/1459640307,2,2,1,True,True,2
T1,way/1459640308,2,2,1,True,True,2
T1,way/1459640309,2,2,1,True,True,2
T1,way/1459640310,2,2,1,True,True,2
T1,way/1466128232,2,2,1,True,True,2
T1,way/1466128235,2,2,1,True,True,2
